event_id,family,method,param_name,param_value,payload_bytes,payload_kb,effective_bpp,pixels,pixel_accuracy,balanced_accuracy,precision,recall,f1,dice,iou
CRACK500_20160222_081839_1281_721,DEO,L3_residual_refinement,residual_fraction,0.25,2333.0,2.2783203125,0.09299266581632654,200704,0.9955157844387706,0.9235307595370417,0.8705808080805333,0.8491379310342213,0.8597256852853459,0.8597256852853459,0.7539639147072843
CRACK500_20160222_081839_1281_721,DEO,L3_residual_refinement,residual_fraction,0.5,2608.0,2.546875,0.10395408163265306,200704,0.9969507334183624,0.9436403465877692,0.9202806122446046,0.888546798029283,0.9041353378457352,0.9041353378457352,0.8250428816464194
CRACK500_20160222_081839_1281_721,DEO,L3_residual_refinement,residual_fraction,0.75,3065.0,2.9931640625,0.12216996173469388,200704,0.9985401387117298,0.9750326742368353,0.9587084756283891,0.9507389162558649,0.9547070639609904,0.9547070639609904,0.9133392487427053
CRACK500_20160222_081839_1281_721,DEO,L3_residual_refinement,residual_fraction,1.0,3449.0,3.3681640625,0.13747608418367346,200704,0.9999999999999951,0.9999999999998436,0.9999999999996921,0.9999999999996921,0.9999999994996922,0.9999999994996922,0.9999999999996921
CRACK500_20160222_081839_1281_721,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.9999999999998436,0.9999999999996921,0.9999999999996921,0.9999999994996922,0.9999999994996922,0.9999999999996921
CRACK500_20160222_081839_1921_361,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9484863281249953,0.4999999999999974,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081839_1921_361,DEO,L1_geometry_metrology,geometry,1.0,1352.0,1.3203125,0.05389030612244898,200704,0.8885672433035671,0.9412575841146762,0.31613869863012733,0.9999999999999032,0.480403317247588,0.480403317247588,0.31613869863012733
CRACK500_20160222_081839_1921_361,DEO,L2_visual_mask_support,support_side,8.0,1468.0,1.43359375,0.058514030612244895,200704,0.97623863998724,0.8955486361134462,0.7511724386723709,0.8055904826384751,0.777430344392497,0.777430344392497,0.6358986104748331
CRACK500_20160222_081839_1921_361,DEO,L2_visual_mask_support,support_side,16.0,1485.0,1.4501953125,0.05919164540816327,200704,0.9863829320790768,0.9263243858175229,0.87416371507272,0.8593674436598453,0.8667024332901289,0.8667024332901289,0.7647615768634218
CRACK500_20160222_081839_1921_361,DEO,L2_visual_mask_support,support_side,24.0,1505.0,1.4697265625,0.05998883928571429,200704,0.9893026546556074,0.9500445452568018,0.8883200606749252,0.90627720282417,0.8972087896565208,0.8972087896565208,0.8135799253277056
CRACK500_20160222_081839_1921_361,DEO,L2_visual_mask_support,support_side,32.0,1524.0,1.48828125,0.06074617346938776,200704,0.991684271364791,0.9579314644117345,0.9184362934362047,0.9203017699970093,0.9193680849146659,0.9193680849146659,0.8507689556508538
CRACK500_20160222_081839_1921_361,DEO,L2_visual_mask_support,support_side,48.0,1571.0,1.5341796875,0.06261957908163265,200704,0.993866589604587,0.9654389179778005,0.9464705882352012,0.9337460102523518,0.9400652412351665,0.9400652412351665,0.886908589802399
CRACK500_20160222_081839_1921_361,DEO,L2_visual_mask_support,support_side,64.0,1612.0,1.57421875,0.06425382653061225,200704,0.9952517139668319,0.9745841581705299,0.9560738581145815,0.9515427023889204,0.953802898331652,0.953802898331652,0.9116856639791574
CRACK500_20160222_081839_1921_361,DEO,L3_residual_refinement,residual_fraction,0.0,2531.0,2.4716796875,0.10088488520408163,200704,0.991684271364791,0.9579314644117345,0.9184362934362047,0.9203017699970093,0.9193680849146659,0.9193680849146659,0.8507689556508538
CRACK500_20160222_081839_1921_361,DEO,L3_residual_refinement,residual_fraction,0.25,2823.0,2.7568359375,0.11252391581632654,200704,0.9939263791454033,0.9688090215316738,0.9412618540738396,0.9408066544152296,0.9410341986969292,0.9410341986969292,0.8886351178511886
CRACK500_20160222_081839_1921_361,DEO,L3_residual_refinement,residual_fraction,0.5,3104.0,3.03125,0.12372448979591837,200704,0.9959442761479542,0.9806660016931311,0.9578886645513933,0.9636328465034371,0.960752169220259,0.960752169220259,0.9244687760971583
CRACK500_20160222_081839_1921_361,DEO,L3_residual_refinement,residual_fraction,0.75,3383.0,3.3037109375,0.1348453443877551,200704,0.9979571906887705,0.9885872276044907,0.9821307176846671,0.9781410194408571,0.9801318079899244,0.9801318079899244,0.9610377268838771
CRACK500_20160222_081839_1921_361,DEO,L3_residual_refinement,residual_fraction,1.0,3657.0,3.5712890625,0.14576690051020408,200704,0.9999999999999951,0.9999999999999489,0.9999999999999032,0.9999999999999032,0.9999999994999031,0.9999999994999031,0.9999999999999032
CRACK500_20160222_081839_1921_361,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.9999999999999489,0.9999999999999032,0.9999999999999032,0.9999999994999031,0.9999999994999031,0.9999999999999032
CRACK500_20160222_081839_1_721,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9718191964285666,0.49999999999999745,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081839_1_721,DEO,L1_geometry_metrology,geometry,1.0,1308.0,1.27734375,0.05213647959183673,200704,0.8094308035714246,0.9019523399367456,0.12882653061224197,0.9999999999998231,0.2282485873684124,0.2282485873684124,0.12882653061224197
CRACK500_20160222_081839_1_721,DEO,L2_visual_mask_support,support_side,8.0,1424.0,1.390625,0.056760204081632654,200704,0.97648278061224,0.6627452150899528,0.6671428571426189,0.33026874115977184,0.44181646124094376,0.44181646124094376,0.28354584092284707
CRACK500_20160222_081839_1_721,DEO,L2_visual_mask_support,support_side,16.0,1437.0,1.4033203125,0.05727838010204082,200704,0.9836176658163217,0.7915682395112351,0.7763772175535069,0.588048090523234,0.6692152912598942,0.6692152912598942,0.5028726942847742
CRACK500_20160222_081839_1_721,DEO,L2_visual_mask_support,support_side,24.0,1459.0,1.4248046875,0.05815529336734694,200704,0.9870804767219339,0.8677715939736519,0.7877136952844659,0.7413366336632352,0.7638218411981074,0.7638218411981074,0.6178897730620958
CRACK500_20160222_081839_1_721,DEO,L2_visual_mask_support,support_side,32.0,1474.0,1.439453125,0.0587531887755102,200704,0.9894670758928522,0.8972402731228464,0.8218829516537945,0.7995049504949081,0.810539522711995,0.810539522711995,0.6814345991560155
CRACK500_20160222_081839_1_721,DEO,L2_visual_mask_support,support_side,48.0,1529.0,1.4931640625,0.06094547193877551,200704,0.9925063775510156,0.924641296724648,0.8778667637421045,0.8527227722770769,0.8651121071232687,0.8651121071232687,0.762288604393747
CRACK500_20160222_081839_1_721,DEO,L2_visual_mask_support,support_side,64.0,1582.0,1.544921875,0.06305803571428571,200704,0.9937071508290767,0.9392507241679435,0.8937085499191801,0.8815417256009757,0.8875834440926558,0.8875834440926558,0.7978876620257964
CRACK500_20160222_081839_1_721,DEO,L3_residual_refinement,residual_fraction,0.0,2481.0,2.4228515625,0.09889190051020408,200704,0.9894670758928522,0.8972402731228464,0.8218829516537945,0.7995049504949081,0.810539522711995,0.810539522711995,0.6814345991560155
CRACK500_20160222_081839_1_721,DEO,L3_residual_refinement,residual_fraction,0.25,2857.0,2.7900390625,0.11387914540816327,200704,0.9921974649234645,0.917100274073104,0.8798291233282169,0.8375176803393144,0.8581521734131915,0.8581521734131915,0.7515468824368156
CRACK500_20160222_081839_1_721,DEO,L3_residual_refinement,residual_fraction,0.5,3182.0,3.107421875,0.12683354591836735,200704,0.994972696109689,0.9502882712596755,0.9173702173520895,0.9029349363506182,0.9100953394268048,0.9100953394268048,0.8350228907781498
CRACK500_20160222_081839_1_721,DEO,L3_residual_refinement,residual_fraction,0.75,3479.0,3.3974609375,0.138671875,200704,0.9973991549744848,0.9803783257616137,0.9462795549372485,0.9623408769446671,0.954242636246011,0.954242636246011,0.9124895222127556
CRACK500_20160222_081839_1_721,DEO,L3_residual_refinement,residual_fraction,1.0,3837.0,3.7470703125,0.15294164540816327,200704,0.9999999999999951,0.999999999999909,0.9999999999998231,0.9999999999998231,0.9999999994998232,0.9999999994998232,0.9999999999998231
CRACK500_20160222_081839_1_721,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.999999999999909,0.9999999999998231,0.9999999999998231,0.9999999994998232,0.9999999994998232,0.9999999999998231
